,customer_state,product_id,product_category_name,product_name_lenght,product_description_lenght,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_state,payment_type,payment_sequential,payment_installments,installments_price,price,freight_value,payment_value,default
21263,ES,ab255f5e05402d14ba0dc69d530a5785,papelaria,39.0,210.0,1475.0,40.0,33.0,24.0,SP,credit_card,1,10,13.3,115.9,17.06,132.96,0
83965,SP,5b8edc146dc3ba78fabf41133e1e6271,brinquedos,51.0,386.0,400.0,22.0,13.0,22.0,SP,boleto,1,1,148.0,79.99,68.13,148.12,0
102791,MG,ed093290e543139864511e4f41b9400a,cama_mesa_banho,47.0,302.0,300.0,16.0,22.0,11.0,SP,credit_card,1,1,56.0,41.8,14.52,56.32,0
22974,RN,8e7a3ee016b12c87b5e3e7e717620758,industria_comercio_e_negocios,56.0,2083.0,850.0,40.0,30.0,30.0,SP,credit_card,1,2,97.5,150.0,44.97,194.97,0
53374,GO,4c9c5d9cbd2475b109784b48a70a5c70,relogios_presentes,56.0,572.0,350.0,18.0,14.0,18.0,MG,credit_card,1,3,114.66666666666669,320.0,23.95,343.95,0
62540,BA,f2f411f86bd5bd427e28e2a30771761f,cama_mesa_banho,58.0,188.0,1150.0,44.0,2.0,35.0,SP,credit_card,1,10,20.9,79.9,24.76,209.32,0
82072,SP,ec72556b5da399d24fe06338e816a9ac,papelaria,45.0,151.0,233.0,20.0,11.0,15.0,SP,boleto,1,1,153.0,68.0,8.29,152.58,0
29920,SP,461f43be3bdf8844e65b62d9ac2c7a5a,relogios_presentes,35.0,591.0,444.0,20.0,14.0,16.0,SP,credit_card,1,6,28.83333333333333,159.9,12.62,172.52,0
45911,SC,ba63ad9eaf3dc6369f8187e7251c0870,perfumaria,38.0,1813.0,5850.0,27.0,20.0,35.0,SP,credit_card,1,10,38.8,349.97,37.8,387.77,0
69383,SP,7945bb528c42095fccdf46321742afce,utilidades_domesticas,31.0,536.0,775.0,44.0,3.0,34.0,SP,credit_card,1,1,8.0,44.9,13.71,7.9,0
59065,SC,7d854ab97c64ef9df2bbfaf332765786,cool_stuff,44.0,598.0,4100.0,89.0,4.0,42.0,MG,boleto,1,1,80.0,59.9,19.66,79.56,0
24768,RJ,a237de12bdf0bfe4fe220bae65a89731,moveis_decoracao,57.0,954.0,1250.0,60.0,12.0,12.0,SP,boleto,1,1,55.0,37.5,17.6,55.1,0
20899,SP,e19ddcc85537b41f22116c8d5425ef46,moveis_decoracao,48.0,519.0,700.0,26.0,8.0,22.0,SP,boleto,1,1,38.0,29.99,7.78,37.77,0
85122,SP,cd322544c79e58e64b103bdceccc507e,esporte_lazer,59.0,722.0,150.0,16.0,5.0,11.0,SP,credit_card,1,1,38.0,30.9,7.39,38.29,0
5680,MG,389d119b48cf3043d311335e499d9c6b,ferramentas_jardim,59.0,341.0,1750.0,37.0,22.0,40.0,SP,boleto,1,1,78.0,59.9,17.67,77.57,0
47088,PR,8ced2631a18d2e0814557875b3bb907b,cama_mesa_banho,37.0,167.0,450.0,25.0,9.0,19.0,SP,credit_card,1,3,21.666666666666668,49.95,15.1,65.05,0
60945,SP,c1617123e66d2491ca93ceadfd36203e,cama_mesa_banho,54.0,687.0,1050.0,32.0,5.0,30.0,SP,voucher,1,1,40.0,49.99,13.71,39.7,0
23201,RS,6c8b2975a4a05d1f36948b20753b29ca,ferramentas_jardim,47.0,895.0,1500.0,45.0,10.0,35.0,SP,boleto,1,1,58.0,40.0,17.93,57.93,0
